Description,Last seen,Usage,"Device type, OS",IPv4 address,Policy
"KPCSRV-TAPE01","Jan 14 14:38","4.26 TB","Other","172.26.85.12","normal"
"NAS02","Jan 14 14:37","3.02 TB","Other","172.26.85.10","normal"
"40:f2:e9:af:f6:31","Jan 14 14:38","263.43 GB","Other","172.26.84.11","normal"
"98:be:94:f7:a9:09","Jan 14 14:38","118.74 GB","Other","172.26.84.12","normal"
"00:50:56:ad:75:39","Jan 14 14:38","51.58 GB","Other","172.26.84.120","normal"
"00:1b:d5:54:68:d4","Jan 14 14:38","21.73 GB","Other","100.100.100.2","normal"
"00:1b:d5:54:68:d5","Jan 14 14:38","19.37 GB","Other","192.168.136.38","normal"
"KPCSRV-TS01","Jan 14 14:38","12.24 GB","Other","172.26.84.131","normal"
"KPC1594","Jan 14 14:38","8.85 GB","Other","192.168.140.180","normal"
"00:50:56:9a:43:4a","Jan 14 14:38","5.59 GB","Other","192.168.136.111","normal"
"KPC1517","Jan 14 14:38","4.92 GB","Other","192.168.140.179","normal"
"KPC2001","Jan 14 14:38","4.51 GB","Windows 10","192.168.140.117","custom"
"KPCSRV-DC04","Jan 14 14:38","3.65 GB","Other","192.168.136.102","normal"
"KPCSRV-DC03","Jan 14 14:38","3.13 GB","Other","192.168.136.101","normal"
"00:50:56:ad:68:74","Jan 14 14:38","2.87 GB","Other","172.26.84.125","normal"
"KPCSRV-PRINT01","Jan 14 14:38","2.52 GB","Other","172.26.84.123","normal"
"KPCSRV-AOVPN01","Jan 14 14:38","2.27 GB","Other","10.10.10.11","normal"
"00:50:56:ad:1d:9f","Jan 14 14:38","2.21 GB","Other","172.26.84.141","normal"
"KPC1581","Jan 14 11:41","2.11 GB","Other","192.168.140.100","normal"
"00:50:56:93:00:04","Jan 14 14:38","1.93 GB","Other","192.168.136.112","normal"
"KPC2029","Jan 14 08:52","1.91 GB","Other","192.168.111.157","normal"
"KPC-j0AcGqfC5aF","Jan 14 10:01","1.89 GB","Other","192.168.111.156","normal"
"00:50:56:ad:4c:5e","Jan 14 14:38","1.66 GB","Other","172.26.84.112","normal"
"iPhone","Jan 14 00:21","1.51 GB","iPhone 8, iOS15.1","10.221.46.92","normal"
"KPC1480","Jan 14 14:38","1.45 GB","Other","192.168.140.176","normal"
"KPC1526","Jan 14 13:53","1.44 GB","Windows 10","192.168.140.131","custom"
"KPC2008","Jan 14 11:16","1.16 GB","Windows 10","192.168.140.181","custom"
"KPC2015","Jan 14 14:38","1.10 GB","Windows 10","192.168.140.167","custom"
"KPC1389","Jan 14 11:26","1.07 GB","Windows 10","192.168.140.192","custom"
"KPC-SrD4zzTaZMy","Jan 13 15:14","1.06 GB","Other","192.168.111.148","normal"
"DESKTOP-PV4UK3H","Jan 14 14:18","1.01 GB","Other","192.168.111.101","normal"
"8e761553-e503-44d7-a94f-ea88fdb71d3c","Jan 14 00:17","947.2 MB","Other","192.168.140.190","normal"
"KPC2008","Jan 14 14:38","937.1 MB","Other","192.168.140.184","normal"
"KPC2022-2","Jan 14 14:37","919.4 MB","Windows 10","192.168.140.163","custom"
"KPC2012","Jan 14 14:38","902.5 MB","Other","192.168.140.128","normal"
"KPCSRV-AZADC02","Jan 14 14:38","887.0 MB","Other","192.168.136.107","normal"
"KPCSRV-CERT01","Jan 14 14:38","884.1 MB","Other","172.26.87.11","normal"
"KPC1594","Jan 14 12:11","816.5 MB","Windows 10","192.168.140.126","custom"
"KPC2014","Jan 14 14:38","803.9 MB","Windows 10","192.168.140.175","custom"
"da:31:69:b2:13:4d","Jan 14 14:38","781.8 MB","iPhone 12 Mini, iOS15.1","10.43.226.89","normal"
"00:50:56:ad:58:8b","Jan 14 14:38","776.8 MB","Other","172.26.84.10","normal"
"KPC1552","Jan 13 15:53","768.8 MB","Other","192.168.140.196","normal"
"KPC1563-2","Jan 14 14:29","762.0 MB","Other","192.168.140.108","normal"
"c5daf3ec-8523-4a41-9387-ffb3f40756b9","Jan 14 14:37","716.4 MB","iPhone X, iOS15.1","10.236.37.35","normal"
"pp-xs-2019","Jan 14 14:37","699.6 MB","iPhone 12 Pro, iOS15.1.1","10.254.168.103","normal"
"00:50:56:ad:35:f5","Jan 14 14:38","694.3 MB","Other","172.26.84.103","normal"
"KPC-vhp1BBFfJJi","Jan 14 14:38","687.7 MB","Windows 10","192.168.140.182","custom"
"WIN-VO5B5UIDO4D","Jan 14 14:38","685.5 MB","Other","192.168.111.153","normal"
"KPC1526","Jan 14 14:38","653.8 MB","Other","192.168.136.216","normal"
"KPC1547","Jan 14 14:38","637.2 MB","Windows 10","192.168.140.102","custom"
"00:50:56:ad:3d:98","Jan 14 14:38","635.0 MB","Other","192.168.136.5","normal"
"KPC1603-2","Jan 14 14:38","581.1 MB","Windows 10","192.168.140.124","custom"
"f3166c21-fbd2-440a-b5e2-88e6699e043b","Jan 14 12:43","524.5 MB","iPhone 12 Mini, iOS15.2","10.202.148.88","normal"
"KPCSRV-TSBR01","Jan 14 14:38","520.2 MB","Other","172.26.84.130","normal"
"KPC1443","Jan 14 14:38","511.5 MB","Other","192.168.140.189","normal"
"KPC-FRBD5OQBYuC","Jan 14 14:25","454.7 MB","Other","192.168.140.161","normal"
"KPC2006","Jan 14 12:08","431.1 MB","Other","192.168.140.120","normal"
"KPC2009","Jan 14 14:38","422.4 MB","Other","192.168.140.151","normal"
"KPCSRV-JUMP01","Jan 14 14:38","412.4 MB","Other","172.26.86.11","normal"
"iPhone-FFPZP5MLJC67","Jan 14 12:11","390.9 MB","iPhone 8, iOS15.2","10.247.19.195","normal"
"KPC1557","Jan 14 14:32","390.9 MB","Other","192.168.140.123","custom"
"iPhone-DX3FVA26PLJQ","Jan 14 14:38","383.0 MB","iPhone SE 2, iOS15.2","10.45.58.243","normal"
"02:40:dc:7b:58:37","Jan 14 14:37","361.4 MB","iPhone SE 2, iOS15.2","10.44.144.65","normal"
"KPC2017","Jan 14 14:38","356.0 MB","Windows 10","192.168.140.168","custom"
"KPC1451","Jan 14 14:38","329.0 MB","Other","192.168.140.178","normal"
"KPC1528","Jan 14 14:38","298.4 MB","Other","192.168.140.177","normal"
"KPC1547","Jan 14 14:32","297.2 MB","Other","192.168.140.149","normal"
"40:f2:e9:af:f2:d1","Jan 14 14:38","294.7 MB","Other","172.26.84.13","normal"
"00:50:56:ad:4c:d1","Jan 14 14:38","285.2 MB","Other","172.26.84.111","normal"
"00:50:56:ad:11:ed","Jan 14 14:38","269.7 MB","Other","172.26.84.151","normal"
"ITRSRV-JUMP01","Jan 14 14:38","268.3 MB","Other","172.26.86.12","normal"
"96:99:c6:02:95:ca","Jan 14 14:36","258.4 MB","iPhone 13 Pro, iOS15.1.1","10.233.126.150","normal"
"KPCSRV-NPS02","Jan 14 14:38","253.0 MB","Other","172.26.84.104","normal"
"KPCSRV-LIC01","Jan 14 14:38","247.4 MB","Other","192.168.136.130","normal"
"iPhone-F17CR0N0PLJQ","Jan 14 14:37","240.8 MB","iPhone SE 2, iOS15.2","10.139.202.126","normal"
"KPCSRV-NAV03","Jan 14 14:38","223.4 MB","Other","192.168.136.113","normal"
"KPC2000","Jan 14 14:38","212.5 MB","Other","192.168.140.121","normal"
"KPC-j0AcGqfC5aF","Jan 14 14:32","202.5 MB","Windows 10","192.168.140.202","custom"
"iPhone-DX4FPJ50N735","Jan 14 11:46","196.9 MB","iPhone 11, iOS15.2","10.47.98.224","normal"
"Louise--iPhone","Jan 14 14:37","196.2 MB","iPhone 8, iOS14.6","10.254.124.243","normal"
"KPC2000","Jan 14 12:55","190.5 MB","Windows 10","192.168.140.164","custom"
"de:71:a1:02:31:7b","Jan 14 14:26","186.0 MB","iPhone SE 2, iOS15.0.1","10.114.114.190","normal"
"KPC2006","Jan 14 12:13","157.4 MB","Windows 10","192.168.140.104","custom"
"KPC1437","Jan 14 14:30","140.9 MB","Other","192.168.140.130","custom"
